data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
10X172_3_matrix.h5,0.0442,"(5971, 20899)",5515.0,"(264, 20899)",507.0,678,9346,57507303
10X192_5_matrix.h5,0.075,"(5412, 21228)",7737.0,"(406, 21228)",1252.0,689,10842,57507709
10X386_8_matrix.h5,0.1224,"(6706, 20464)",4526.0,"(821, 20464)",1214.0,615,6388,57508530
10X217_4_matrix.h5,0.0671,"(6470, 21000)",8188.0,"(434, 21000)",544.0,898,13883,57508964
10X236_1_matrix.h5,0.9214,"(9142, 19469)",641.0,"(8423, 19469)",374.0,628,4690,57517387
10X160_6_matrix.h5,0.1122,"(7248, 20621)",2894.0,"(813, 20621)",399.0,677,8526,57518200
10X380_6_matrix.h5,0.7066,"(6015, 19560)",3200.0,"(4250, 19560)",879.0,507,6359,57522450
10X215_8_matrix.h5,0.0722,"(7151, 20748)",5273.0,"(516, 20748)",498.0,704,8664,57522966
10X380_4_matrix.h5,0.7502,"(6025, 19518)",1822.0,"(4520, 19518)",914.0,557,6535,57527486
10X237_1_matrix.h5,0.886,"(5897, 18922)",3146.0,"(5225, 18922)",497.0,635,7956,57532711
10X379_5_matrix.h5,0.2622,"(5325, 19877)",3084.0,"(1396, 19877)",775.0,543,6404,57534107
10X388_2_matrix.h5,0.911,"(2572, 19103)",5770.0,"(2343, 19103)",661.0,537,8787,57536450
10X217_8_matrix.h5,0.3126,"(8219, 21051)",7138.0,"(2569, 21051)",718.0,469,9549,57539019
10X176_3_matrix.h5,0.261,"(4716, 19430)",1519.0,"(1231, 19430)",713.0,471,8042,57540250
10X264_8_matrix.h5,0.0911,"(5940, 20599)",5672.0,"(541, 20599)",497.0,593,8367,57540791
10X359_1_matrix.h5,0.689,"(1000, 18592)",3737.0,"(689, 18592)",615.0,697,7457,57541480
10X190_6_matrix.h5,0.1486,"(6588, 20714)",4736.0,"(979, 20714)",937.0,541,9798,57542459
10X171_1_matrix.h5,0.3866,"(4878, 19490)",766.0,"(1886, 19490)",336.0,642,5397,57544345
10X229_1_matrix.h5,0.1545,"(5704, 20522)",4606.0,"(881, 20522)",476.0,567,8866,57545226
10X388_4_matrix.h5,0.1289,"(5711, 20502)",2329.0,"(736, 20502)",381.0,593,7693,57545962
10X391_6_matrix.h5,0.1219,"(7065, 20817)",4964.0,"(861, 20817)",824.0,374,8938,57546823
10X220_8_matrix.h5,0.4289,"(4836, 19195)",848.0,"(2074, 19195)",330.0,754,5198,57548897
10X383_3_matrix.h5,0.5332,"(3267, 19711)",3465.0,"(1742, 19711)",510.0,438,7329,57550639
